DATE,RON_95_V_V1,RON_95_111_V1,E5_RON_92_11_V1,Diezen_SV_V1,Diezen_S_ll_V1,Dauhoa_2_KV1,Mazut_N2B_V1,Mazut_180cst_RMG_V1,RON_95_V_V2,RON_95_111_V2,E5_RON_92_11_V2,Diezen_SV_V2,Diezen_S_ll_V2,Dauhoa_2_KV2,Mazut_N2B_V2,Mazut_180cst_RMG_V2
28/3/2024,25.22,24.81,23.62,21.32,20.69,20.87,17.14,22.25,25.72,25.3,24.09,21.74,21.1,21.28,17.48,22.69
21/3/2024,24.69,24.28,23.21,21.64,21.01,21.26,17.09,22.2,25.18,24.76,23.67,22.07,21.43,21.68,17.43,22.64
14/3/2024,23.95,23.54,22.49,21.17,20.54,20.7,16.43,21.54,24.42,24.01,22.93,21.59,20.95,21.11,16.75,21.97
7/3/2024,24.06,23.55,22.51,21.46,20.47,20.6,16.13,20.85,24.54,24.02,22.96,21.88,20.87,21.01,16.45,21.26
29/2/2024,24.43,23.92,22.75,21.76,20.77,20.78,15.95,20.67,24.91,24.39,23.2,22.19,21.18,21.19,16.26,21.08
22/2/2024,24.1,23.59,22.47,21.9,20.91,20.92,15.92,20.64,24.58,24.06,22.91,22.33,21.32,21.33,16.23,21.05
15/2/2024,24.42,23.91,22.83,22.35,21.36,21.22,15.9,20.62,24.9,24.38,23.28,22.79,21.78,21.64,16.21,21.03
8/2/2024,24.05,23.26,22.12,21.68,20.7,20.58,15.59,20.25,24.53,23.72,22.56,22.11,21.11,20.99,15.9,20.65
1/2/2024,24.95,24.16,22.91,21.97,20.99,20.92,16.08,20.74,25.44,24.64,23.36,22.4,21.4,21.33,16.4,21.15
25/1/2024,24.19,23.4,22.17,21.35,20.37,20.54,15.49,20.15,24.67,23.86,22.61,21.77,20.77,20.95,15.79,20.55
18/1/2024,23.27,22.48,21.41,21.17,20.19,20.53,15.5,20.16,23.73,22.92,21.83,21.59,20.59,20.94,15.81,20.56
11/1/2024,22.72,21.93,21.04,20.68,19.7,20.33,15.81,20.47,23.17,22.36,21.46,21.09,20.09,20.73,16.12,20.87
4/1/2023,22.47,21.91,21,20.34,19.36,19.95,15.49,21.06,22.91,22.34,21.42,20.74,19.74,20.34,15.79,21.48
28/12/2023,22.7,22.14,21.18,20.76,19.76,20.45,15.68,21.25,23.15,22.58,21.6,21.17,20.17,20.85,15.99,21.67
21/12/2023,22.7,22.14,21.19,20.5,19.52,20.49,15.26,20.83,23.15,22.58,21.61,20.91,19.91,20.89,15.56,21.24
14/12/2023,21.96,21.4,20.51,19.99,19.01,19.96,14.97,20.54,22.39,21.82,20.92,20.38,19.39,20.35,15.26,20.95
7/12/2023,23.01,22.32,21.29,21.12,19.72,20.92,15.52,20.65,23.47,22.76,21.71,21.54,20.11,21.33,15.83,21.06
30/11/2023,23.68,22.99,21.79,21.59,20.19,21.11,15.72,20.85,24.15,23.44,22.22,22.02,20.59,21.53,16.03,21.26
23/11/2023,23.71,23.02,21.69,21.68,20.28,20.94,15.63,20.76,24.18,23.48,22.12,22.11,20.68,21.35,15.94,21.17
13/11/2023,24.22,23.53,22.27,22.28,20.88,21.51,15.62,20.75,24.7,24,22.71,22.72,21.29,21.94,15.93,21.16
1/11/2023,24.56,23.92,22.61,23,21.94,22.3,16.24,19.79,25.05,24.39,23.06,23.46,22.37,22.74,16.56,20.18
23/10/2023,24.15,23.51,22.36,23.54,22.48,22.75,16.61,20.16,24.63,23.98,22.8,24.01,22.92,23.2,16.94,20.56
11/10/2023,23.68,23.04,21.9,23.47,22.41,22.46,16.23,19.78,24.15,23.5,22.33,23.93,22.85,22.9,16.55,20.17
